#,Open_Time,Direction,Entry_Price,Stop_Loss,Take_Profit,RR,Balance_Before,Risk_Amount,Position_Size,Close_Time,Balance_After,Profit,Result
148,2024-04-24 12:40:00,Long,1.0682,1.0681,1.0684,2,20500,100,,2024-04-24 12:40:00,20700,200,Win
149,2024-04-25 18:05:00,Long,1.07276,1.07252,1.07324,2,20700,100,,2024-04-25 18:05:00,20600,-100,Lose
150,2024-04-26 19:35:00,Long,1.0698,1.0698,1.0698,2,20600,100,,2024-04-26 19:35:00,20800,200,Win
151,2024-04-29 08:35:00,Long,1.07112,1.0711,1.0711600000000003,2,20800,100,,2024-04-29 08:35:00,21000,200,Win
152,2024-04-30 11:05:00,Long,1.07211,1.0721,1.0721299999999996,2,21000,100,,2024-04-30 11:05:00,21200,200,Win
153,2024-05-01 10:15:00,Long,1.06682,1.06673,1.0670000000000004,2,21200,100,,2024-05-01 10:15:00,21100,-100,Lose
154,2024-05-02 08:05:00,Long,1.07157,1.07149,1.0717299999999996,2,21100,100,,2024-05-02 08:05:00,21300,200,Win
155,2024-05-03 10:20:00,Long,1.07424,1.07418,1.0743600000000004,2,21300,100,,2024-05-03 10:20:00,21500,200,Win
156,2024-05-06 08:00:00,Long,1.07626,1.07576,1.0772599999999999,2,21500,100,,2024-05-06 08:00:00,21400,-100,Lose
157,2024-05-07 14:25:00,Long,1.07768,1.07749,1.0780599999999998,2,21400,100,,2024-05-07 14:25:00,21300,-100,Lose
158,2024-05-08 11:20:00,Long,1.07483,1.07471,1.0750699999999997,2,21300,100,,2024-05-08 11:20:00,21200,-100,Lose
159,2024-05-09 18:25:00,Short,1.07783,1.07785,1.0777900000000002,2,21200,100,,2024-05-09 18:25:00,21400,200,Win
160,2024-05-10 09:55:00,Long,1.07797,1.07791,1.0780900000000004,2,21400,100,,2024-05-10 09:55:00,21600,200,Win
161,2024-05-13 14:20:00,Long,1.08004,1.07988,1.0803599999999998,2,21600,100,,2024-05-13 14:20:00,21500,-100,Lose
